Tag Counts:
Tag,Count
Untagged,78
web,4
sv_P2,4
sv_P1,12
email,12

Port/Protocol Combination Counts:
Port,Protocol,Count
49153,tcp,2
49154,tcp,2
49155,tcp,2
49156,tcp,2
49157,tcp,2
49158,tcp,2
80,tcp,4
1024,tcp,4
443,tcp,4
23,tcp,8
25,tcp,4
110,tcp,4
993,tcp,4
143,tcp,4
49159,tcp,1
49160,tcp,3
49161,tcp,3
49162,tcp,3
49163,tcp,3
49164,tcp,3
49165,tcp,3
49166,tcp,3
49167,tcp,3
49168,tcp,3
49169,tcp,2
49170,tcp,2
49171,tcp,2
49172,tcp,2
49173,tcp,1
49174,tcp,1
49175,tcp,1
49176,tcp,1
49177,tcp,1
49178,tcp,1
49179,tcp,1
49180,tcp,1
49181,tcp,1
49182,tcp,1
49183,tcp,1
49184,tcp,1
49185,tcp,1
49186,tcp,1
49187,tcp,1
49188,tcp,1
49189,tcp,1
49190,tcp,1
49191,tcp,1
49192,tcp,1
49193,tcp,1
49194,tcp,1
49195,tcp,1
49196,tcp,1
49197,tcp,1
49198,tcp,1
